m_insp[Msun],mass_aEMS[Msun],M_loss[Msun],m_ins-M_loss
3.3,100.79649864258913,15.026513783798706,-11.726513783798705
3.3999999999999995,100.79649864258913,15.005429550854828,-11.60542955085483
3.4999999999999987,100.79649864258913,14.984345317910947,-11.484345317910948
3.6,100.79649864258913,14.921092619079321,-11.321092619079321
3.6999999999999993,100.79649864258913,14.810400396123951,-11.110400396123952
3.799999999999999,100.79649864258913,14.637373337879648,-10.837373337879649
3.9,100.79649864258913,14.307934912895988,-10.407934912895987
3.9999999999999987,100.79649864258913,13.756013604048267,-9.756013604048269
4.1,100.79649864258913,12.70340256734332,-8.60340256734332
4.199999999999998,100.79649864258913,12.70340256734332,-8.503402567343322
4.299999999999999,100.79649864258913,12.70340256734332,-8.40340256734332
4.4,100.79649864258913,12.742150419325101,-8.342150419325101
4.499999999999999,100.79649864258913,12.76152434531596,-8.261524345315962
4.599999999999999,100.79649864258913,12.800272197297758,-8.20027219729776
4.699999999999998,100.79649864258913,12.839020049279512,-8.139020049279512
4.799999999999999,100.79649864258913,12.87776790126128,-8.07776790126128
4.9,100.79649864258913,12.935889679233938,-8.035889679233938
4.999999999999999,100.79649864258913,12.981301357485572,-7.981301357485573
5.099999999999999,100.79649864258913,13.046395738137507,-7.946395738137508
5.199999999999998,100.79649864258913,13.098471242659029,-7.8984712426590304
5.299999999999999,100.79649864258913,13.176584499441335,-7.876584499441336
5.4,100.79649864258913,13.241678880093248,-7.841678880093248
5.499999999999999,100.79649864258913,13.319792136875547,-7.819792136875548
5.599999999999999,100.79649864258913,13.38488651752748,-7.7848865175274815
5.699999999999998,100.79649864258913,13.45889793098489,-7.758897930984891
5.799999999999999,100.79649864258913,13.546284893650581,-7.746284893650582
5.9,100.79649864258913,13.633671856316296,-7.733671856316295
5.999999999999999,100.79649864258913,13.721058818981982,-7.721058818981983
6.099999999999999,100.79649864258913,13.808445781647677,-7.708445781647678
6.199999999999998,100.79649864258913,13.889854001332148,-7.68985400133215
6.299999999999999,100.79649864258913,13.982760870568557,-7.682760870568558
6.399999999999999,100.79649864258913,14.064054381150413,-7.6640543811504145
6.499999999999999,100.79649864258913,14.16857460904137,-7.668574609041371
6.599999999999999,100.79649864258913,14.261481478277817,-7.6614814782778184
6.6999999999999975,100.79649864258913,14.366357071390114,-7.666357071390117
6.799999999999999,100.79649864258913,14.464438065989658,-7.664438065989659
